,arterial_thromb,myocardial_infarct,pe,stroke,vte,dic
364,c0205210_clinical,c0185792_sternotomy_(procedure),c0205411_adequate,c0277814_sitting_position,c0179740_peripherally_inserted_central_catheter_(physical_object),c0085649_peripheral_edema
365,c0205234_focal,c0205042_coronary_artery,c0205413_patchy_distribution,c0293359_insulin_lispro,"c0179804_catheter,_foley",c0085669_acute_leukemia
366,c0205250_high,c0205081_moderate,c0205421_deferred,c0302908_liquid_substance,c0181620_hoist_device,c0085704_exploratory_laparotomy
367,c0205292_multifocal,c0205082_severe,c0205549_series,c0332173_daily,c0181904_monitor_device,c0086418_homo_sapiens
368,c0205307_normal,c0205092_unilateral,c0205748_dysplastic_nevus,c0332183_frequent,c0184511_improved,c0086582_males
369,c0205329_worsens_with_time,c0205093_lateral,c0206046_zofran,c0332183_frequently,c0184661_interventional_procedure,c0087086_thrombus
370,c0205386_descending,c0205094_anterior,c0206460_enoxaparin,c0332241_equivocal,c0184666_hospital_admission,c0087153_ventilator_-_respiratory_equipment
371,c0205411_adequate,c0205095_dorsal,c0206698_cholangiocarcinoma,c0332254_supple,c0184906_bifurcation_(procedure),c0149520_acute_cholecystitis
372,c0205421_deferred,c0205099_central,c0221198_lesion,c0332281_associated_with,c0185115_extraction,c0149651_clubbing
373,c0205453_seven,c0205101_extrinsic,c0221423_illness_(finding),c0332514_asymmetry,c0195897_craniectomy,c0149871_deep_vein_thrombosis
374,c0205539_scheduled_-_procedure_status,c0205104_downward,c0223084_body_of_vertebra,c0332516_symmetrical,c0199168_medical_service,c0149871_deep_venous_thrombosis
375,c0205549_series,c0205107_proximal,c0225317_soft_tissue,c0333164_narrow,c0199176_prophylactic_treatment,c0150411_analysis_of_arterial_blood_gases_and_ph
376,c0205929_anal_fistula,c0205108_distal,c0225386_breath,c0333222_septic_embolus,c0199962_transfusion_of_packed_red_blood_cells,c0150521_comfort_measures
377,c0206046_zofran,c0205111_apical,c0225706_right_lung,c0333275_hemorrhagic,c0200949_blood_culture,c0151539_increased_blood_urea_nitrogen
378,c0220981_metabolic_acidosis,c0205131_axial,c0225730_left_lung,c0333548_acute_infarct,c0205054_hepatic,c0151583_abnormality_of_the_cerebrospinal_fluid
379,c0221102_excretory_function,c0205144_junctional,c0225844_right_atrial_structure,"c0333559_infarction,_lacunar",c0205064_cervical,c0151603_anasarca
380,c0221198_lesion,c0205147_regional,c0225883_right_ventricular_structure,c0340537_fat_embolism,c0205090_right,c0151632_high_esr
381,c0221205_yellow_color,c0205150_hilar,c0226054_right_pulmonary_artery,c0340643_dissection_of_aorta,c0205091_left,c0151699_intracranial_hemorrhage
382,c0221214_vascular_ring,c0205178_acute,c0226069_left_pulmonary_artery,c0340643_tear_in_inner_wall_of_large_artery_that_carries_blood_away_from_heart,c0205092_unilateral,c0151740_intracranial_pressure_elevation
383,c0221423_illness_(finding),c0205178_acute_onset,c0226513_structure_of_superficial_vein,c0342649_vascular_calcification,c0205093_lateral,c0151746_kidney_function_issue
384,c0221464_arterial,c0205180_anicteric,c0226550_internal_jugular_vein_structure,c0343401_methicillin-resistant_staphylococcus_aureus_infection,c0205099_central,c0152424_common_ventricle
385,c0224463_tibialis_posterior_muscle_structure,c0205183_benign,c0226802_structure_of_cephalic_vein,c0344232_blurred_vision,c0205104_downward,c0155773_blood_clot_in_portal_vein
386,c0225594_structure_of_carina,c0205189_borderline,c0226836_structure_of_peroneal_vein,c0392201_blood_glucose_measurement,c0205107_proximal,c0155773_portal_vein_thrombosis
387,c0225844_right_atrial_structure,c0205191_chronic,c0227391_sigmoid_colon,c0392756_reduced,c0205108_distal,c0159054_abnormal_sputum_morphology
388,c0226025_structure_of_infrarenal_aorta,c0205210_clinical,c0227952_foreskin_of_penis,c0398623_hypercoagulability,c0205117_adjacent,c0162429_malnutrition
389,c0226231_structure_of_left_vertebral_artery,c0205219_diffuse,c0230165_upper_abdomen_(surface_region),c0398623_thrombophilia,c0205123_coronal_(qualifier_value),c0175566_open
390,c0226262_structure_of_left_subclavian_artery,c0205269_unresponsive_to_treatment,c0230416_left_lower_extremity,c0423124_dermatochalasis,c0205124_superficial,c0175668_secondary_to
391,c0226398_structure_of_external_iliac_artery,c0205307_normal,c0231221_asymptomatic,c0423798_bruising_susceptibility,c0205129_sagittal,c0175722_clip
392,c0226476_structure_of_peroneal_artery,c0205358_soft,c0231242_complicated,c0427055_facial_paresis,c0205144_junctional,c0175723_bands
393,c0226550_internal_jugular_vein_structure,c0205360_stable_status,c0231472_standing_position,c0427055_facial_weakness,c0205171_singular,c0176751_percutaneous_endoscopic_gastrostomy
394,c0226801_structure_of_basilic_vein,c0205374_transient,c0231528_muscle_pain,c0428643_pulmonary_artery_systolic_pressure,c0205178_acute_onset,c0178587_density
395,c0226812_structure_of_brachial_vein,c0205386_descending,c0231832_respiratory_rate,c0428772_left_ventricular_ejection_fraction,c0205180_anicteric,c0178638_folate
396,c0226896_oral_cavity,c0205396_identified,c0231835_tachypnea,c0439211_microgram,c0205191_chronic,c0179740_peripherally_inserted_central_catheter_(physical_object)
397,c0227613_right_kidney,c0205400_thickened,c0231953_lung_volume,c0439216_metric_ton,c0205195_combined,c0179790_pulmonary_artery_flotation_catheter
398,c0227614_left_kidney,c0205410_sufficient,c0231957_slow_vital_capacity,c0439227_hour,c0205201_cavernous,"c0179804_catheter,_foley"
399,c0227952_foreskin_of_penis,c0205413_patchy_distribution,c0232693_bowel_sounds,c0439550_afternoon,c0205214_common_(qualifier_value),c0184511_improved
400,c0228193_right_frontal_lobe_structure,c0205453_seven,c0232694_hyperactive_bowel_sounds,c0439659_beginning,c0205231_extensive,c0184661_interventional_procedure
401,c0229766_celiac_lymph_node,c0205494_neurologic_(qualifier_value),c0232695_hypoactive_bowel_sounds,c0439793_severities,c0205234_focal,c0184666_hospital_admission
402,c0230168_abdominal_cavity,c0205929_anal_fistula,c0233762_hallucinations_of_sound,c0439794_dense,c0205250_high,c0185003_reparative_closure
403,c0230329_right_upper_extremity,c0216784_valsartan,c0234233_sore_to_touch,c0439834_slow,c0205266_intact,c0199962_transfusion_of_packed_red_blood_cells
404,c0230347_left_upper_arm_structure,c0220981_metabolic_acidosis,"c0236816_stress_disorders,_traumatic,_acute",c0441471_event,c0205269_unresponsive_to_treatment,c0200949_blood_culture
405,c0230415_right_lower_extremity,c0221198_lesion,c0237753_numbers,c0441587_clinical_act_of_insertion,c0205271_irregular,c0201617_primed_lymphocyte_test
406,c0230416_left_lower_extremity,c0221423_illness_(finding),c0238767_bilateral,c0441633_scanning,c0205272_regular,"c0201913_bilirubin,_total_measurement"
407,c0230443_structure_of_left_lower_leg,c0224086_belly_of_skeletal_muscle,c0239479_round_face,c0441635_anatomical_segmentation,c0205329_worsens_with_time,c0202115_lactic_acid_measurement
408,c0230460_structure_of_right_foot,c0225317_soft_tissue,c0240059_intraventricular_hemorrhage,c0442030_parietal,c0205341_repeat,c0205054_hepatic
409,c0230461_structure_of_left_foot,c0225386_breath,c0240059_ventricular_hemorrhage,c0442043_temporal_-_regional_site_descriptor,c0205358_soft,c0205064_cervical
410,c0231218_malaise,c0225844_right_atrial_structure,c0240709_pericardial_constriction,c0443162_brisk,c0205365_subacute,c0205081_moderate
411,c0231242_complicated,c0225860_left_atrial_structure,c0240859_basilar_rales,c0443246_left-sided,c0205386_descending,c0205082_severe
412,c0231290_status_post,c0225883_right_ventricular_structure,c0240962_scleral_icterus,c0443246_left_sided,c0205409_isolated,c0205091_left
413,c0231472_standing_position,c0225897_left_ventricular_structure,c0241726_delayed_ability_to_walk,c0443288_restricted,c0205411_adequate,c0205092_unilateral
414,c0231749_knee_pain,c0226032_anterior_descending_branch_of_left_coronary_artery,c0242184_hypoxia,c0444532_right,c0205421_deferred,c0205099_central
415,c0231957_slow_vital_capacity,c0226230_structure_of_right_vertebral_artery,c0242379_lung_cancer,c0444532_right_sided,c0205453_seven,c0205100_peripheral
416,c0232292_chest_tightness,c0226231_structure_of_left_vertebral_artery,c0243026_sepsis,c0444764_coils_(formation),c0205494_neurologic_(qualifier_value),c0205104_downward
417,c0232338_blood_flow,c0226276_structure_of_internal_thoracic_artery,c0260194_radiologist,c0448011_mental_foramen,c0205539_scheduled_-_procedure_status,c0205117_adjacent
418,c0232466_poor_feeding,c0226801_structure_of_basilic_vein,c0262950_skeletal_bone,c0449259_clinical_course,c0205929_anal_fistula,c0205124_superficial
419,c0233426_personal_appearance,c0226896_oral_cavity,c0264169_concave_nasal_ridge,c0449295_limitation,c0206460_enoxaparin,c0205129_sagittal
420,c0233762_hallucinations_of_sound,c0227391_sigmoid_colon,c0264169_saddle_nose,c0449416_source,c0206698_cholangiocarcinoma,c0205131_axial
421,c0234192_cold_sensation,c0227614_left_kidney,c0266061_open_bite,c0449774_patterns,c0223084_body_of_vertebra,c0205171_singular
422,c0234234_tender,c0228157_periventricular_white_matter,c0266295_underdeveloped_kidneys,c0449851_techniques,c0225594_structure_of_carina,c0205178_acute
423,c0234621_visual,c0230136_structure_of_intercostal_space,c0267080_esophageal_web,c0457435_right_hemiparesis,c0225706_right_lung,c0205178_acute_onset
424,c0238106_clostridium_difficile_colitis,c0230415_right_lower_extremity,c0282139_colace,c0457436_left_hemiparesis,c0226156_structure_of_right_internal_carotid_artery,c0205195_combined
425,c0238656_ankle_pain,c0231221_asymptomatic,c0282386_levofloxacin,c0475224_ischemic,c0226157_structure_of_left_internal_carotid_artery,c0205201_cavernous
426,c0238767_bilateral,c0231290_status_post,c0287163_seroquel,c0476273_respiratory_distress,c0226213_structure_of_right_middle_cerebral_artery,c0205219_diffuse
427,c0239043_difficulty_chewing,c0231303_distress,c0301532_multivitamin_preparation,c0489547_hospital_course,c0226214_structure_of_left_middle_cerebral_artery,c0205231_extensive
428,c0239598_swollen_finger,c0231472_standing_position,c0302148_blood_clot,c0497552_neurologic_abnormalities,c0226231_structure_of_left_vertebral_artery,c0205234_focal
429,c0239783_groin_pain,c0231528_myalgia,c0312448_short-acting_thyroid_stimulator,"c0520997_thrombolysis,_function",c0226513_structure_of_superficial_vein,c0205246_generalized
430,c0239804_white_hair,c0231832_respiratory_rate,c0314761_normal_flora,c0521097_cleared_by,c0226801_structure_of_basilic_vein,c0205269_unresponsive_to_treatment
431,c0240635_increased_palatal_height,c0232201_sinus_rhythm,c0332156_return_to_(contextual_qualifier)_(qualifier_value),c0521874_victim_of_neglect_(finding),c0226802_structure_of_cephalic_vein,c0205292_multifocal
432,c0240709_pericardial_constriction,c0232202_normal_sinus_rhythm,c0332161_ameliorated_by,c0522224_inability_to_move,c0226812_structure_of_brachial_vein,c0205307_normal
433,c0241657_abnormality_of_the_vasculature,c0232257_systolic_murmurs,c0332174_weekly,c0522510_intensity,c0226836_structure_of_peroneal_vein,c0205329_progressive
434,c0241726_delayed_ability_to_walk,c0232261_late_systolic_murmur,c0332183_frequent,c0522534_saturated,c0227230_body_of_stomach,c0205341_repeat
435,c0241889_family_history,c0232292_chest_tightness,c0332183_frequently,c0524727_discipline_of_heart_surgery,c0227391_sigmoid_colon,c0205359_spontaneous
436,c0242664_husband,c0232694_hyperactive_bowel_sounds,c0332189_episode_of,c0524865_reconstructive_surgical_procedures,c0227613_right_kidney,c0205400_thickened
437,c0260194_radiologist,c0232804_renal_function,c0332241_equivocal,c0542518_large_kidney,c0227952_foreskin_of_penis,c0205409_isolated
438,c0262655_urinary_infection,c0233762_hallucinations_of_sound,c0332448_infiltration,c0543419_sequela_of_disorder,c0228157_periventricular_white_matter,c0205411_adequate
439,c0262950_skeletal_bone,c0235439_ankle_edema_(finding),c0332490_round_shape,c0543467_operative_surgical_procedures,c0228160_right_lateral_ventricle_structure,c0205421_deferred
440,c0264956_atheroma,c0235896_pulmonic_infiltration,c0332521_collapse_(morphologic_abnormality),c0543495_albuterol_sulfate,c0228161_left_lateral_ventricle_structure,c0205748_dysplastic_nevus
441,c0264995_arterial_occlusion,c0236000_jaw_pain,c0333222_septic_embolus,c0544341_lotion,c0228176_left_cerebral_hemisphere,c0206046_zofran
442,c0266292_renal_anomalies,c0236040_pain_in_calf,c0333343_body_cavities,c0546018_right_basal_ganglia,c0228193_right_frontal_lobe_structure,c0206698_cholangiocarcinoma
443,c0266295_underdeveloped_kidneys,"c0236816_stress_disorders,_traumatic,_acute",c0333348_inflammatory,c0546019_left_basal_ganglia,c0228194_left_frontal_lobe_structure,c0216784_valsartan
444,c0267466_colonic_stenosis,c0239598_swollen_finger,c0334135_sclerotic_(qualifier_value),c0546884_depleted_blood_volume,c0228465_cerebellar_hemisphere_structure,c0220870_lightheadedness
445,c0272407_splenic_cyst,c0239783_groin_pain,c0340537_fat_embolism,c0549113_supraaortic_valve_area_structure,c0230165_upper_abdomen_(surface_region),c0220981_metabolic_acidosis
446,c0277786_chief_complaint_(finding),c0240526_night_time,c0343401_methicillin-resistant_staphylococcus_aureus_infection,c0549177_large,c0230168_abdominal_cavity,c0221198_lesion
447,c0277797_apyrexial,c0240709_pericardial_constriction,c0346647_cancer_of_the_pancreas,c0549183_midline_(qualifier_value),c0230329_right_upper_extremity,c0221214_vascular_ring
448,c0277899_absent_pulse,c0240859_basilar_rales,c0347646_perforation_of_the_colon,c0549207_bone_structure_of_spine,c0230330_left_upper_extremity,c0221423_illness_(finding)
449,c0282139_colace,c0241165_thickened_skin,c0347944_pelvic_mass,c0553544_gaze,c0230347_left_upper_arm_structure,c0224086_belly_of_skeletal_muscle
450,c0302133_mottling,c0241657_abnormality_of_the_vasculature,c0348013_venous,c0556656_meetings,c0230415_right_lower_extremity,c0225317_soft_tissue
451,c0302148_blood_clot,c0242184_hypoxia,c0348016_intravenous,c0566001_does_communicate,c0230416_left_lower_extremity,c0225844_right_atrial_structure
452,c0302891_native_(qualifier_value),c0242231_coronary_artery_stenosis,c0349588_short_stature,c0574032_infusion_procedures,c0230443_structure_of_left_lower_leg,c0226262_structure_of_left_subclavian_artery
453,c0332156_return_to_(contextual_qualifier)_(qualifier_value),c0242339_dyslipidemia,c0376358_prostatic_cancer,c0581269_thoracic_spine_structure,c0231290_status_post,c0226550_internal_jugular_vein_structure
454,c0332161_ameliorated_by,c0242339_dyslipidemias,c0392201_blood_glucose_measurement,c0582802_digit_structure,c0231472_standing_position,c0226801_structure_of_basilic_vein
455,c0332182_periodic,c0242485_measurement,c0392525_renal_calculi,c0585325_every_six_hours,c0231749_knee_pain,c0226802_structure_of_cephalic_vein
456,c0332241_equivocal,c0250482_zosyn,c0392747_changing,c0585326_every_eight_hours,c0231835_tachypnea,c0226812_structure_of_brachial_vein
457,c0332448_infiltration,c0260194_radiologist,c0398623_hypercoagulability,c0587117_evening,c0231953_lung_volume,c0227391_sigmoid_colon
458,c0332463_narrowed_structure,c0262374_anal_stenosis,c0398623_thrombophilia,c0595998_household_composition,c0231957_slow_vital_capacity,c0227613_right_kidney
459,c0332575_redness,c0262950_skeletal_bone,c0424290_collectionism,c0600203_dichloroacetic_acid,c0232338_blood_flow,c0227614_left_kidney
460,c0332835_transplanted_tissue,c0264956_atheroma,c0425913_aplasia_of_the_uterus,c0699129_coumadin,c0232693_bowel_sounds,c0228193_right_frontal_lobe_structure
461,c0333051_shift_displacement,c0265673_congenital_kyphosis,c0427055_facial_weakness,c0699142_tylenol,c0233565_slow_movements,c0229766_celiac_lymph_node
462,c0333139_gas_retention,c0266292_renal_anomalies,c0427965_antimicrobial_susceptibility,c0699512_dilantin,c0234233_sore_to_touch,c0230165_upper_abdomen_(surface_region)
463,c0333222_septic_embolus,c0266295_underdeveloped_kidneys,c0428643_pulmonary_artery_systolic_pressure,c0700198_pulmonary_aspiration,c0234234_tender,c0230168_abdominal_cavity
464,c0340643_dissection_of_aorta,c0277786_chief_complaint_(finding),c0436331_exacerbated_by,c0700321_small,c0234422_awake,c0230329_right_upper_extremity
465,c0340643_tear_in_inner_wall_of_large_artery_that_carries_blood_away_from_heart,c0277797_apyrexial,c0439064_numerous,c0700364_appearance,c0234518_slurred_speech,c0231218_malaise
466,c0343401_methicillin-resistant_staphylococcus_aureus_infection,c0277885_decreased_systolic_blood_pressure,c0439208_gram,c0700385_dairy_cream,c0234621_visual,c0231242_complicated
467,c0347944_pelvic_mass,c0277890_decreased_diastolic_blood_pressure,c0439211_microgram,c0701042_cipro,c0235195_sedated_state,c0231290_status_post
468,c0348013_venous,c0278060_mental_state,c0439228_day,c0728985_cervical_spine,c0237753_numbers,c0231303_distress
469,c0391850_physiologic_pulse,c0282386_levofloxacin,c0439230_week,"c0740392_infarction,_middle_cerebral_artery",c0239043_difficulty_chewing,c0231528_muscle_pain
470,c0392106_hepatic_artery_thrombosis,c0286651_atorvastatin,c0439231_month,c0748164_multiple_pulmonary_nodules,c0239340_peripheral_edema_of_lower_extremity,c0231528_myalgia
471,c0392201_blood_glucose_measurement,c0293359_insulin_lispro,c0439550_afternoon,c0750502_significant,c0239598_swollen_finger,c0232257_systolic_murmurs
472,c0392360_indication_of_(contextual_qualifier),c0301630_reduction_(chemical),c0439661_acquired_(qualifier_value),c0750729_course,c0239981_hypoalbuminaemia,c0232261_late_systolic_murmur
473,c0392756_reduced,c0302891_native_(qualifier_value),c0439680_lytic,c0750937_appendicular_ataxia,c0240059_intraventricular_hemorrhage,c0232693_bowel_sounds
474,c0398623_thrombophilia,c0312448_short-acting_thyroid_stimulator,c0439841_ambulatory_-_qualifier_value,c0751956_acute_cerebrovascular_accidents,c0240059_ventricular_hemorrhage,c0232804_renal_function
475,c0403673_retrograde_ejaculation,c0314761_normal_flora,c0441587_clinical_act_of_insertion,"c0752132_infarction,_posterior_cerebral_artery",c0240962_conjunctival_icterus,c0233762_hallucinations_of_sound
476,c0423757_thin_skin,c0324026_scallop,c0441633_scanning,c0806909_maximum,c0240962_scleral_icterus,c0234233_sore_to_touch
477,c0424290_collectionism,c0332170_morning,c0441889_levels_(qualifier_value),c0817096_chest,c0241657_abnormality_of_the_vasculature,c0234234_tender
478,c0425913_aplasia_of_the_uterus,c0332173_daily,c0441994_lower_-_spatial_qualifier,c0856975_autistic_behavior,c0241889_family_history,c0234621_visual
479,c0427190_trunk_ataxia,c0332189_episode_of,c0442031_pericardial_body_location,c0876060_keppra,c0242664_husband,c0235195_sedated_state
480,c0427965_antimicrobial_susceptibility,c0332241_equivocal,c0442037_popliteal,c0877326_bone_infarction,c0242665_wife,c0238106_clostridium_difficile_colitis
481,c0428772_left_ventricular_ejection_fraction,c0332281_associated_with,c0442043_temporal_-_regional_site_descriptor,c0884358_performed,c0250482_zosyn,c0238767_bilateral
482,c0430404_urine_culture,c0332448_infiltration,c0442519_home_environment,c0907402_insulin_glargine,c0262655_urinary_infection,c0239043_difficulty_chewing
483,c0439211_microgram,c0332575_redness,c0442603_office,c0917808_vegetative_state,c0262926_medical_history,c0239340_peripheral_edema_of_lower_extremity
484,c0439227_hour,c0332835_transplanted_tissue,c0442711_protocols_documentation,c0935598_sagittal_plane,c0264995_arterial_occlusion,c0239598_swollen_finger
485,c0439230_week,c0333051_shift_displacement,c0442808_increasing,c0948008_ischemic_stroke,c0266037_conoid_tooth,c0239981_hypoalbuminaemia
486,c0439234_year,c0333348_inflammatory,c0442816_normal_limits,c0986175_folic_acid_1_mg,c0266470_hypoplastic_cerebellum,c0240962_scleral_icterus
487,c0439583_overnight,"c0333559_infarction,_lacunar",c0443172_changed_status,c0991536_oral_solution,c0277786_chief_complaint_(finding),c0241657_abnormality_of_the_vasculature
488,c0439659_beginning,c0340464_premature_cardiac_complex,c0443199_differential_quality,c0991547_rectal_suppository,c0277814_sitting_position,c0241889_family_history
489,c0439663_infected,c0340643_dissection_of_aorta,c0444454_access,c0991577_oral_drops,c0277885_decreased_systolic_blood_pressure,c0242485_measurement
490,c0439680_lytic,c0340643_tear_in_inner_wall_of_large_artery_that_carries_blood_away_from_heart,c0444532_right_sided,c1112433_thromboembolic_stroke,c0293359_insulin_lispro,c0242664_husband
491,c0439734_ruq_-_right_upper_quadrant,c0342649_vascular_calcification,c0444706_measured,"c1145640_central_venous_catheter,_device",c0301532_multivitamin_preparation,c0243026_sepsis
492,c0439834_slow,c0347944_pelvic_mass,c0444764_coils_(formation),c1261287_stenosis,c0302148_blood_clot,c0250482_zosyn
493,c0439841_ambulatory_-_qualifier_value,c0348011_surgical_transfer_-_action,c0449259_clinical_course,c1261322_evaluation_procedure,c0302908_liquid_substance,c0260194_radiologist
494,c0441587_clinical_act_of_insertion,c0349588_short_stature,c0449295_limitation,c1262865_natures,c0314761_normal_flora,c0262655_urinary_infection
495,c0441635_anatomical_segmentation,c0360714_hydroxymethylglutaryl-coa_reductase_inhibitors,c0449435_manufactured_aid,c1263846_attention_deficit,c0332161_ameliorated_by,c0262926_medical_history
496,c0441655_activities,c0392360_indication_of_(contextual_qualifier),c0449851_techniques,c1272641_systemic_arterial_pressure,c0332170_morning,c0265931_plsvc
497,c0442031_pericardial_body_location,c0392482_single_atrium,c0449911_view,c1272691_to_be_stopped,c0332173_daily,c0266037_conoid_tooth
498,c0442035_peroneal,c0392525_renal_calculi,c0450448_waveforms,c1272706_interval,c0332174_weekly,c0266292_renal_anomalies
499,c0442037_popliteal,c0403447_chronic_kidney_insufficiency,c0452428_drink_(dietary_substance),c1275548_every_twenty_four_hours,c0332182_periodic,c0266295_underdeveloped_kidneys
500,c0442038_radial,c0424296_disinhibition,c0456070_growth_delay,c1282910_upper,c0332183_frequent,c0277797_apyrexial
501,c0442603_office,c0424790_rigor_-_temperature-associated_observation,c0456389_size,c1282914_surrounding_(qualifier_value),c0332183_frequently,c0278060_mental_state
502,c0442816_normal_limits,c0428643_pulmonary_artery_systolic_pressure,c0456962_rapid,c1285498_vegetation,c0332254_supple,c0282386_levofloxacin
503,c0443246_left-sided,c0428772_left_ventricular_ejection_fraction,c0456984_test_result,c1299586_has_difficulty_doing_(qualifier_value),c0332282_following,c0301532_multivitamin_preparation
504,c0443246_left_sided,c0428776_cardiac_index,c0458827_airway_structure,c1301624_medical_contraindication,c0332514_asymmetry,c0302583_iron
505,c0444454_access,c0428977_brachycardia,c0459471_interpretation_process,c1301808_geographic_state,c0332516_symmetrical,c0332156_return_to_(contextual_qualifier)_(qualifier_value)
506,c0444532_right,c0428977_bradycardia,c0475211_liter,c1301886_diameter_(qualifier_value),c0332835_transplanted_tissue,c0332161_ameliorated_by
507,c0444532_right_sided,c0436331_exacerbated_by,c0489547_hospital_course,c1306459_primary_malignant_neoplasm,c0333275_hemorrhagic,c0332174_weekly
508,c0444706_measured,c0439148_unit,c0497156_lymphadenopathy,c1306645_plain_x-ray,c0333276_acute_hemorrhage,c0332182_periodic
509,c0445204_preoperative,c0439211_microgram,c0497327_dementia,c1306710_facial_asymmetry,c0333548_acute_infarct,c0332189_episode_of
510,c0445456_brachial,c0439219_pounds,"c0497327_dementia,_progressive",c1313386_insulin_glulisine,c0334135_sclerotic_(qualifier_value),c0332241_equivocal
511,c0447106_superficial_femoral_artery,c0439230_week,c0497552_neurologic_abnormalities,c1314792_etiology,c0339897_transjugular_intrahepatic_portosystemic_shunt_procedure,c0332254_supple
512,c0448011_mental_foramen,c0439234_year,c0518766_vital_signs,c1314939_involvement_with,c0340643_dissection_of_aorta,c0332516_symmetrical
513,c0449438_status,c0439534_dimensions,c0520743_mediastinal_lymphadenopathy,c1337615_bulk_(conceptual),c0340643_tear_in_inner_wall_of_large_artery_that_carries_blood_away_from_heart,c0332835_transplanted_tissue
514,c0449851_techniques,c0439550_afternoon,c0520960_non-tender,c1457887_symptoms,c0342649_vascular_calcification,c0333051_shift_displacement
515,c0450448_waveforms,c0439793_severities,c0521097_cleared_by,c1504568_middle_cerebral_artery_stenosis,c0348013_venous,c0333139_gas_retention
516,c0456070_growth_delay,c0439801_limited_(extensiveness),c0521367_oropharyngeal,c1512911_intraabdominal_route_of_drug_administration,c0348016_intravenous,c0333222_septic_embolus
517,c0456389_size,c0441471_event,c0521530_lung_consolidation,c1513302_mild_adverse_event,c0392201_blood_glucose_measurement,c0333343_body_cavities
518,c0456984_test_result,c0441587_clinical_act_of_insertion,c0522055_abnormal_electrocardiogram,c1533125_euro_currency,c0392756_reduced,c0333348_inflammatory
519,c0472681_continuous_venovenous_hemodialysis,c0442004_septal,c0522501_massive,c1561270_adverse_event_associated_with_neurology,c0398623_thrombophilia,"c0333559_infarction,_lacunar"
520,c0475211_liter,c0442031_pericardial_body_location,c0522534_saturated,c1561451_intraarterial_route_of_drug_administration,c0423124_dermatochalasis,c0336630_endotracheal_tube
521,c0475224_ischemic,c0442519_home_environment,c0523807_oxygen_saturation_measurement,c1565489_renal_insufficiency,c0423798_bruising_susceptibility,c0340643_dissection_of_aorta
522,c0518766_vital_signs,c0442711_protocols_documentation,c0524461_structure_of_lumen_of_body_system,c1692321_cellular_infiltrate,c0424290_collectionism,c0340643_tear_in_inner_wall_of_large_artery_that_carries_blood_away_from_heart
523,c0521114_occasional_(29-5%),c0442808_increasing,c0524466_intracranial,c1697794_liquid_dosage_form,c0427055_facial_paresis,c0343401_methicillin-resistant_staphylococcus_aureus_infection
524,c0522055_abnormal_electrocardiogram,c0442816_normal_limits,c0524865_reconstructive_surgical_procedures,c1704212_embolus,c0427055_facial_weakness,c0348013_venous
525,c0522224_inability_to_move,c0442874_neuropathy,c0525032_international_normalized_ratio,c1704241_complex_(molecular_entity),c0427965_antimicrobial_susceptibility,c0348016_intravenous
526,c0522499_palpable,c0443172_changed_status,c0541764_delayed_bone_age,c1704258_abnormality,c0439211_microgram,c0376261_lactate
527,c0524461_structure_of_lumen_of_body_system,c0443198_diagonal,c0542518_large_kidney,c1704474_tube_-_unit_dose,c0439216_metric_ton,c0376358_prostatic_cancer
528,c0524466_intracranial,c0443199_differential_quality,c0543419_sequela_of_disorder,c1736830_workstation,c0439227_hour,c0391850_physiologic_pulse
529,"c0524724_staple,_surgical",c0443763_cardiac_enzymes,c0543467_operative_surgical_procedures,c1762617_weak,c0439228_day,c0392201_blood_glucose_measurement
530,c0524727_discipline_of_heart_surgery,c0444505_peak_level,c0543495_albuterol_sulfate,c1854510_abnormality_of_cranial_nerve,c0439231_month,c0392360_indication_of_(contextual_qualifier)
531,c0524865_reconstructive_surgical_procedures,c0444598_middle,c0544755_genua_vara,c1865244_shallow_orbits,c0439534_dimensions,c0392525_renal_calculi
532,c0525032_international_normalized_ratio,c0445204_preoperative,c0546817_fluid_overload,c1999002_actual_negative_coping,c0439583_overnight,c0392747_changing
533,c0541764_delayed_bone_age,c0449215_avf,c0549178_continuous,"c2004284_mental_status,_ctcae",c0439611_preliminary,c0392756_reduced
534,c0543419_sequela_of_disorder,c0449216_avl_-_lead_site,c0554756_doppler_studies,c2143306_pupils_equal_round_and_reactive_to_light_and_accommodation,c0439661_acquired_(qualifier_value),c0423757_thin_skin
535,c0543467_operative_surgical_procedures,c0449259_clinical_course,c0560563_fluoroscopic_guidance,c2733158_cerebral_small_vessel_diseases,c0439792_extent,c0423798_bruising_susceptibility
536,c0544755_genua_vara,c0449438_status,c0562508_accident_and_emergency_department,c2825141_experimental_finding,c0439793_severities,c0424290_collectionism
537,c0546817_fluid_overload,c0449450_presentation,c0566001_does_communicate,c2825502_vasogenic_edema,c0439841_ambulatory_-_qualifier_value,c0425913_aplasia_of_the_uterus
538,c0549113_supraaortic_valve_area_structure,c0449851_techniques,c0578735_axillary_lymphadenopathy,c2945599_mild,c0441633_scanning,c0427965_antimicrobial_susceptibility
539,c0549178_continuous,c0450448_waveforms,c0580836_old,c2945599_mild_(qualifier_value),c0441635_anatomical_segmentation,c0428977_brachycardia
540,c0554756_doppler_studies,c0455458_past_medical_history,c0581269_thoracic_spine_structure,c3203358_hypoventilation,c0442027_oral,c0428977_bradycardia
